timestamp,open,high,low,close,volume
2012-01-05,50.8400,52.5300,50.1400,52.1000,4088735
2012-01-04,48.1700,51.2500,48.1500,51.1500,7476520
2012-01-03,47.5000,48.7100,46.8800,47.0300,2332638
2011-12-30,46.7300,47.2800,46.5100,46.6600,1061396
2011-12-29,47.2600,47.7500,46.7100,47.0400,1330833
2011-12-28,48.3000,48.6500,46.9200,47.1100,1661602
2011-12-27,47.8100,49.0400,47.7500,48.6400,1344201
2011-12-23,46.7400,48.0000,46.5000,47.9100,1480278
2011-12-22,45.8200,46.9800,45.7600,46.7900,1768955
2011-12-21,46.8800,46.8800,44.6100,45.8900,2141028
2011-12-20,45.7300,46.8301,45.5634,46.7700,2121130
2011-12-19,45.4000,45.7500,45.0000,45.1100,2323097
2011-12-16,45.4200,45.6000,44.3100,45.2600,3597092
2011-12-15,44.1700,45.1900,42.7500,45.1300,3409295
2011-12-14,44.4900,44.7500,43.1000,43.6100,3731138
2011-12-13,47.8000,48.4900,44.2200,44.8100,3865995
2011-12-12,47.2000,47.8000,46.5500,47.7300,2995047
2011-12-09,46.1600,48.1000,45.5900,47.8000,4320599
2011-12-08,45.5600,46.6600,45.1800,45.8600,4129881
2011-12-07,45.7099,45.7099,44.7100,45.3000,4136080
2011-12-06,48.3000,48.5000,45.3700,45.5400,6405230
2011-12-05,50.4000,50.6900,47.5400,48.3600,7697719
2011-12-02,48.6600,50.3200,48.6350,49.6900,8979131
2011-12-01,41.9400,47.7600,41.7000,47.1700,28904333
2011-11-30,49.6900,50.0100,48.8500,49.7000,4222192
2011-11-29,49.0600,49.2600,47.3000,47.7600,2419969
2011-11-28,48.9999,49.9350,48.1300,48.9300,3005893
2011-11-25,46.9400,47.6000,46.0600,46.2600,1245118
2011-11-23,46.6700,47.4000,46.0000,46.7000,2618951
2011-11-22,47.4100,48.1800,46.2400,47.0100,2763065
2011-11-21,47.6300,48.0500,46.6700,47.4400,2972410
2011-11-18,51.1400,51.1400,48.3800,49.0600,2803532
2011-11-17,53.2200,53.3100,50.0100,50.3200,3129374
2011-11-16,53.8700,54.1500,51.3000,51.6900,2645076
2011-11-15,52.0100,54.9800,51.6000,54.6600,3355103
2011-11-14,53.9000,54.6300,52.5800,52.7100,2536132
2011-11-11,54.5500,55.0500,53.3400,53.9500,2117282
2011-11-10,55.3000,55.6100,53.5000,53.9800,1620110
2011-11-09,55.9400,56.4700,54.1000,54.4800,2800853
2011-11-08,55.6100,57.9300,55.2500,57.4600,3787327
2011-11-07,55.9900,56.1099,54.2000,55.2900,1482617
2011-11-04,55.5200,56.6800,54.8800,55.9800,2231180
2011-11-03,56.1100,56.8200,53.6000,56.3000,2818710
2011-11-02,56.0200,56.1500,54.3900,55.7600,2067035
2011-11-01,54.5099,55.2400,52.5700,54.8500,3972428
2011-10-31,57.7099,59.4600,56.4100,56.4800,3207133
2011-10-28,57.0000,58.5000,56.5600,57.9400,2237308
2011-10-27,55.7200,58.4400,54.9200,57.5800,4757241
2011-10-26,52.4100,53.9300,51.1500,53.1600,3318963
2011-10-25,53.1000,53.8900,51.7000,51.7500,2157248
2011-10-24,50.4900,54.4100,50.3300,53.8900,3211169
2011-10-21,51.0700,51.7800,49.6600,50.1000,2303395
2011-10-20,50.0700,50.9100,48.7400,50.1800,2013696
2011-10-19,51.6500,52.3800,49.9900,50.2200,1967809
2011-10-18,52.2600,52.3120,49.2700,51.4200,4078265
2011-10-17,53.7500,54.1600,52.3600,52.5300,2669455
2011-10-14,54.3400,54.8500,52.7700,54.2400,1762738
2011-10-13,52.9900,53.2300,51.7900,52.9600,1982194
2011-10-12,53.7800,55.0000,53.1210,53.2100,2670251
2011-10-11,52.5500,53.9000,52.2100,53.1800,2316606
2011-10-10,52.1800,53.8500,51.7500,53.5300,2803691
2011-10-07,52.5500,52.5800,50.0000,50.9400,3753461
2011-10-06,50.5800,52.6100,49.6800,52.1700,3737786
2011-10-05,47.4100,50.2696,46.3200,50.2000,4643731
2011-10-04,43.9300,47.7500,42.1800,47.5700,6081267
2011-10-03,48.0000,49.0000,44.7100,44.8000,5213872
2011-09-30,50.4400,51.4300,48.5000,48.6900,3992740
2011-09-29,54.4600,54.9100,49.8700,51.9100,4310374
2011-09-28,55.9700,56.9500,52.9200,53.2700,3520988
2011-09-27,57.0000,57.9900,55.3500,55.8700,2956739
2011-09-26,55.2900,55.8600,52.2700,55.6800,4300615
2011-09-23,53.6300,56.1700,53.4000,55.7700,3172768
2011-09-22,54.6800,56.2900,53.2700,54.2300,4067797
2011-09-21,59.1400,60.1600,56.8000,56.9100,4297724
2011-09-20,60.9100,61.8000,58.7500,59.0100,4338883
2011-09-19,56.2600,61.0000,55.9000,60.7100,5496658
2011-09-16,58.2500,58.7000,56.8700,57.7600,2678017
2011-09-15,58.7500,59.4395,57.7100,58.5600,3132452
2011-09-14,57.7500,59.1600,56.6800,58.3700,3436258
2011-09-13,55.5300,57.4500,54.7906,57.2500,3696555
2011-09-12,54.4984,56.3800,52.8100,55.1300,4538151
2011-09-09,55.2900,55.4900,53.2000,55.0600,11559881
2011-09-08,56.3400,58.6000,56.1600,57.6900,6468343
2011-09-07,55.7100,57.1000,54.5500,56.6500,4710506
2011-09-06,51.4400,54.1600,51.0000,54.1100,2714403
2011-09-02,53.0200,54.4800,52.0600,53.1500,2554510
2011-09-01,54.6300,56.4500,54.0510,54.5300,2313826
2011-08-31,57.1000,57.9000,53.5800,54.7300,4036236
2011-08-30,54.5800,56.4500,54.3000,56.0700,3071634
2011-08-29,54.0500,55.3500,53.5500,55.2400,3386090
2011-08-26,48.7700,52.7100,48.0000,52.3100,3675386
2011-08-25,51.7499,52.3000,48.9400,49.1200,2674815
2011-08-24,51.1500,52.8400,49.6100,50.9400,4155832
2011-08-23,46.1400,51.2500,45.3300,50.6200,4798549
2011-08-22,47.0600,47.5900,44.2700,45.4500,4734639
2011-08-19,47.0000,49.7700,45.6100,46.0000,4235861
2011-08-18,49.9400,50.0500,47.2310,48.0000,4649345
2011-08-17,55.3700,56.0000,51.9200,52.5700,3367073
2011-08-16,57.7500,57.7600,54.0900,54.2400,4091828
2011-08-15,59.4300,59.7500,57.1700,58.5700,3629419
2011-08-12,55.5000,58.7200,55.1800,58.1500,4669346
2011-08-11,51.7000,54.8600,51.2500,53.8300,3466279
2011-08-10,50.0300,53.3500,47.7400,51.3300,4518553
2011-08-09,50.0600,51.1900,47.1600,50.4400,5615038
2011-08-08,50.0000,51.4499,47.9000,48.7600,5340758
2011-08-05,57.1750,57.4100,51.0000,53.5700,8115238
2011-08-04,59.6200,59.9900,55.9100,55.9900,4175392
2011-08-03,59.5900,60.4900,57.2400,60.4700,3059564
2011-08-02,61.8800,62.7000,59.1700,59.2900,2942296
2011-08-01,62.6200,62.7500,60.3800,62.1500,2602557
2011-07-29,60.4300,61.2100,58.5300,60.5400,2220155
2011-07-28,61.0400,63.1400,61.0200,61.6800,2380008
2011-07-27,62.3100,62.4500,60.3900,61.0000,2702574
2011-07-26,61.8500,63.1600,61.1100,62.8600,2089463
2011-07-25,62.7800,63.0000,61.7400,61.9000,2065018
2011-07-22,62.6300,63.8400,62.5800,63.4400,1585771
2011-07-21,64.1800,64.2000,62.3000,63.0100,2165601
2011-07-20,64.0600,64.4900,63.1500,63.7600,2514137
2011-07-19,61.4000,63.9600,60.8700,63.5100,3663036
2011-07-18,60.3800,61.0000,59.7300,60.4800,2083317
2011-07-15,60.7500,60.7800,59.5201,60.5400,2761562
2011-07-14,61.9100,62.1900,59.2900,59.7400,3925977
2011-07-13,60.9000,62.8600,60.2600,60.6400,4339477
2011-07-12,58.7400,60.7000,58.6000,59.9200,3497471
2011-07-11,118.8200,120.5700,116.6001,117.7800,1529789
2011-07-08,119.5100,120.9800,117.9100,120.2500,2462102
2011-07-07,122.8000,123.8400,120.3400,121.7000,2310178
2011-07-06,118.6100,121.7500,118.1000,121.3600,2240672
2011-07-05,116.0000,119.8800,115.4600,118.7500,2322011
2011-07-01,111.8200,115.9300,111.1600,115.6200,1552676
2011-06-30,110.0500,113.2500,109.7300,111.8200,1958322
2011-06-29,114.1300,114.1960,111.1600,111.6800,1968444
2011-06-28,109.6700,113.5000,109.5600,113.1000,2418648
2011-06-27,104.0000,108.9900,102.1500,108.5800,2326323
2011-06-24,106.4200,106.4800,103.2800,104.3800,2230758
2011-06-23,100.1700,106.7500,99.0900,106.7000,3166631
2011-06-22,102.6800,104.9200,101.3000,101.3700,2075369
2011-06-21,98.7200,103.4500,98.4400,102.8100,3237582
2011-06-20,92.8800,97.8700,92.7400,97.7500,2145327
2011-06-17,92.2100,94.0000,91.6900,93.3800,1997254
2011-06-16,91.3900,91.7500,89.1000,90.9800,1718113
2011-06-15,90.8000,93.5900,90.3017,91.3300,2047634
2011-06-14,89.1900,91.6200,88.8100,91.5000,1872892
2011-06-13,90.9500,91.5000,86.4100,87.9000,3196328
2011-06-10,92.2000,93.2400,89.0500,89.9400,6722301
2011-06-09,85.5700,86.9300,84.0600,86.1400,2445796
2011-06-08,83.0900,85.6900,82.8200,84.3400,2176188
2011-06-07,84.4100,85.1700,82.3600,83.0900,2611592
2011-06-06,84.9600,87.4000,83.5600,83.8700,2275023
2011-06-03,85.6700,88.9500,85.6101,86.6600,1568739
2011-06-02,87.9100,88.7800,85.5500,87.3200,1783852
2011-06-01,90.1500,90.3900,87.6500,87.9100,2027355
2011-05-31,91.8900,91.9500,89.0000,90.8000,4398395
2011-05-27,91.4000,91.6510,88.0509,90.0800,3454571
2011-05-26,95.4200,96.4000,91.0600,91.7500,3730862
2011-05-25,95.9500,98.2900,95.8100,97.5800,1436392
2011-05-24,97.4200,97.9000,95.9100,97.2300,1384674
2011-05-23,94.2000,97.2500,94.0129,96.5100,1251572
2011-05-20,96.4800,96.8000,95.0500,96.2900,1189742
2011-05-19,99.0000,99.0000,96.5200,97.2400,1074295
2011-05-18,95.2400,98.2500,95.0601,98.1500,1178147
2011-05-17,93.1300,94.9900,92.2500,94.8500,1437906
2011-05-16,95.4300,95.4400,93.3000,94.0700,1085120
2011-05-13,97.0900,97.0900,94.9600,95.2300,1158010
2011-05-12,96.0000,98.0000,94.6800,97.0400,867394
2011-05-11,98.8500,99.1800,95.1600,96.6700,1140683
2011-05-10,99.3900,101.1400,97.5529,98.8900,1293945
2011-05-09,95.4000,99.0000,94.1300,98.9900,1458529
2011-05-06,95.7200,96.9300,94.0700,94.9500,946445
2011-05-05,91.9200,95.9880,91.5200,93.9900,1432590
2011-05-04,92.8300,94.9400,90.1700,93.2300,1730643
2011-05-03,95.5800,95.5800,92.1600,93.3000,2524523
2011-05-02,100.2700,100.6302,96.0000,96.3500,1943970
2011-04-29,99.0200,100.6700,98.6000,100.0500,1001391
2011-04-28,100.1800,101.9100,99.0200,99.3300,1272244
2011-04-27,97.9429,100.8550,97.2000,100.4800,1850141
2011-04-26,100.2700,101.6800,98.2800,98.6200,1646261
2011-04-25,102.4900,102.5300,100.1000,101.3800,889377
2011-04-21,99.4500,102.8290,99.2500,102.1700,1739083
2011-04-20,101.9600,101.9800,98.7900,99.7300,2295923
2011-04-19,97.3600,101.4000,97.1800,100.2600,4317404
2011-04-18,91.9400,97.0000,91.6500,96.8600,3083040
2011-04-15,91.5200,93.9400,91.4800,93.2800,1500231
2011-04-14,91.5500,92.3800,90.5400,92.0250,1460359
2011-04-13,90.3300,92.3600,89.8000,92.1100,1593002
2011-04-12,87.2100,90.1400,86.4500,89.3000,1989435
2011-04-11,90.6300,90.9180,88.0700,88.7100,1559942
2011-04-08,91.9900,92.5600,89.6300,90.2800,1649479
2011-04-07,91.1500,92.1100,89.2200,91.5100,2799368
2011-04-06,94.1800,94.9800,90.7200,92.0800,2337761
2011-04-05,90.9600,94.2900,90.7200,93.4900,2797906
2011-04-04,90.0700,91.0000,89.0000,90.9400,1693315
2011-04-01,89.6900,90.9300,88.5300,89.1300,1899499
2011-03-31,89.7000,89.7100,88.1600,89.0500,2043375
2011-03-30,90.1500,90.9690,89.2100,89.8400,3038555
2011-03-29,87.0500,89.2500,86.1100,89.1700,5892250
2011-03-28,79.5500,86.0000,79.4700,85.2700,6008825
2011-03-25,79.1100,80.0600,78.5000,78.6400,1884853
2011-03-24,80.0000,80.9700,78.7500,78.8100,1869250
2011-03-23,77.3000,79.7700,76.4000,79.2800,1763214
2011-03-22,76.7700,77.8100,76.3600,77.2100,1401907
2011-03-21,76.3600,77.3400,75.0200,76.8800,2095261
2011-03-18,77.4000,77.8900,74.7900,75.5600,2818573
2011-03-17,77.3100,80.7700,74.5300,76.3660,7882129
2011-03-16,80.5899,81.3200,77.4600,79.3500,2976271
2011-03-15,75.5800,79.8600,74.5950,79.1300,2152984
2011-03-14,77.7400,79.7300,76.6400,78.2400,2298975
2011-03-11,73.7500,76.9000,73.5934,76.5000,1293036
2011-03-10,74.8200,75.4900,73.0100,74.7200,1526030
